Dataset	RunID	Masking	Build	Chance	RunTime	SeqNum	UPNum	AANum	MotNum	Rank	Sig	Pattern	IC	Occ	Support	UP	ExpUP	Prob	Cloud	CloudSeq	CloudUP
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:06:50	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:10	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:13	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:48	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:47	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:09:32	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:06:50	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:10	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:13	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:48	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:47	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:09:32	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:06:50	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:10	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:13	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:48	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:47	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:09:32	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:06:50	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:10	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:13	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:48	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:47	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:09:32	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:06:50	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:10	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:13	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:48	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:47	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:09:32	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:06:50	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:10	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:13	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:48	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:47	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:09:32	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:06:50	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:10	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:13	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:48	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:47	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:09:32	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:06:50	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:10	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:13	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:48	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:47	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:09:32	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:06:50	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:10	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:13	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:48	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:47	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:09:32	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:06:50	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:10	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:13	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:48	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:47	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:09:32	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:06:50	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:10	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:13	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:48	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:47	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:09:32	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:06:50	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:10	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:13	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:48	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:47	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:09:32	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:06:50	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:10	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:13	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:48	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:47	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:09:32	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:06:50	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:10	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:13	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:48	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:47	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:09:32	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:06:50	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:10	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:13	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:48	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:47	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:09:32	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:06:50	55	50	8513	0	0	0.3	-									
interactors_of.O00264	2017-12-09	FreqDisComp-5-8	l5w2o3a3	Sig	00:07:10	55	50	8513	0	0	0.3	-									
